"Broker","Seniority","Policies_in_force","Lapse","Payment","Premium","Cost_claims_year","N_claims_year","N_claims_history","Type_risk","Urban","Second_driver","Power","Cylinder_capacity","Value_vehicle","N_doors","Diesel","Length","Weight","Premium_class","age","Licence_time"
"1","1+","2","0",0,11549,145.45,1,8,"passenger cars",1,0,75,1974,18728,"3",0,4.4,1340,"300-450","senior","senior driver"
"0","1+","2","0",0,3315,165.86,2,4,"passenger cars",1,0,80,1388,13430,"5",0,3.916,1047,"150-300","young adult","young driver"
"1","1+","2","1",0,10519,214.75,1,7,"passenger cars",1,0,115,1685,23890,"5",1,4.41,1415,"150-300","senior","senior driver"
"0","1","1","0",0,20994,5082.92,3,3,"passenger cars",1,1,85,1248,16215,"5",0,4.035,1040,"450-600","senior","experienced driver"
"0","1","1","0",0,849,121.17,1,5,"passenger cars",1,0,140,1968,31610,"4",1,4.586,1430,"0-150","senior","experienced driver"
"1","1","1","0",0,4219,56.85,1,1,"passenger cars",1,0,83,1399,10150,"5",0,3.88,995,"150-300","adult","experienced driver"
"1","1","1","1",1,18899,114.9,1,1,"passenger cars",1,1,120,1870,25200,"5",1,4.675,1463,"300-450","senior","experienced driver"
"0","1","1","0",1,18381,981.66,2,2,"vans",0,0,70,1248,14885,"4",1,4.159,1310,"300-450","senior","senior driver"
"1","1","2","0",0,7979,70.18,1,1,"passenger cars",0,1,70,1895,19755.27,"3",0,4.26,1250,"150-300","adult","experienced driver"
"1","1+","1","0",1,18013,168.66,1,4,"passenger cars",1,0,105,1896,22595,"5",1,4.204,1287,"300-450","senior","experienced driver"
"1","1","2","0",0,7577,671.72,2,2,"passenger cars",1,0,95,1587,19782,"5",0,4.276,1240,"150-300","adult","experienced driver"
"1","1+","3","1",0,22793,1093.62,2,6,"passenger cars",0,1,70,1598,28553.19,"5",1,4.313,1260,"600+","adult","experienced driver"
"1","1+","4","0",0,5345,10764,4,12,"vans",0,0,105,1248,16960,"2",1,3.864,1090,"150-300","adult","experienced driver"
"0","1+","2","1",0,7434,51.95,1,22,"passenger cars",1,0,76,2184,23750,"5",1,4.264,1440,"150-300","70+","experienced driver"
"0","1+","2","0",0,22513,479.85,2,18,"vans",0,0,90,1248,21865,"6",1,4.39,1270,"600+","adult","young driver"
"1","1","1","1",1,13418,222.99,2,2,"passenger cars",0,0,118,1749,18800,"4",0,4.6,1315,"300-450","senior","senior driver"
"0","1+","4","0",0,16040,1764,1,9,"vans",0,0,109,1870,21114,"5",1,5.182,1728,"300-450","senior","senior driver"
"0","1+","2","0",1,21601,2496.95,1,1,"vans",0,0,140,2500,15013.29,"5",1,4.65,1605,"450-600","senior","senior driver"
"0","1+","2","0",0,6059,49.95,1,3,"vans",0,1,90,1997,17630,"5",1,4.137,1311,"150-300","senior","senior driver"
"1","1+","2","1",1,12303,653.41,3,6,"passenger cars",1,0,60,2496,39480,"5",0,4.8,1575,"300-450","senior","senior driver"
"0","1+","3","0",0,14254,882,2,4,"passenger cars",0,0,86,1753,20300,"5",1,4.382,1253,"300-450","senior","senior driver"
"0","1","1","0",0,20645,88.86,1,1,"passenger cars",0,0,102,1493,15890,"5",1,4.34,1290,"450-600","senior","senior driver"
"0","1+","1","0",0,12449,49.95,1,7,"passenger cars",0,1,64,1896,13769.19,"5",1,4.02,1060,"300-450","senior","senior driver"
"0","1+","1","0",0,9227,882,1,4,"passenger cars",0,0,90,1868,12620,"5",0,3.822,1010,"150-300","senior","senior driver"
"0","1+","2","0",0,7734,364.3,1,3,"vans",0,0,105,1997,16390,"3",1,4.108,1280,"150-300","senior","senior driver"
"0","1+","4","0",0,5500,49.95,1,1,"vans",0,0,105,1868,13260,"5",1,3.995,970,"150-300","young adult","experienced driver"
"1","1+","2","0",1,20067,4465.07,1,3,"passenger cars",1,1,100,1997,27800,"5",1,4.778,1496,"450-600","senior","senior driver"
"0","1+","4","0",1,16925,669.31,7,19,"passenger cars",0,0,110,2993,55600,"5",1,4.667,2105,"300-450","senior","experienced driver"
"0","1+","4","1",1,14592,66.85,7,19,"vans",0,0,110,2463,30145,"5",1,5.399,1894,"300-450","senior","experienced driver"
"0","1+","2","0",0,8824,952.69,4,5,"passenger cars",0,0,75,2283,16497.78,"5",1,4.32,1480,"150-300","senior","experienced driver"
"1","1+","3","0",0,10910,370.16,5,6,"passenger cars",0,0,75,1796,26100,"5",0,4.471,1385,"150-300","senior","senior driver"
"1","1+","1","0",1,8541,1001.81,1,2,"passenger cars",0,0,68,998,9360,"5",0,3.435,875,"150-300","senior","experienced driver"
"1","1+","1","0",1,20403,254.83,1,4,"passenger cars",1,1,105,1896,22595,"5",1,4.204,1287,"450-600","senior","experienced driver"
"0","1+","3","0",0,10394,882,3,4,"passenger cars",0,0,90,2664,29293.33,"5",1,4.665,1850,"150-300","senior","senior driver"
"0","1+","2","0",1,13358,119.06,3,13,"passenger cars",0,0,100,1995,18850,"5",1,4.317,1560,"300-450","senior","experienced driver"
"0","1","1","0",1,5740,70.57,1,1,"passenger cars",1,0,75,1360,15620,"5",0,3.85,1089,"150-300","senior","senior driver"
"1","1+","1","0",0,18335,2186.8,1,7,"vans",0,0,82,1870,19563.16,"5",1,4.782,1684,"300-450","senior","senior driver"
"0","1","1","0",1,5332,277.62,3,3,"passenger cars",0,0,60,1242,9886.65,"3",0,3.723,935,"150-300","senior","senior driver"
"0","1+","6","1",0,11061,299.36,4,19,"passenger cars",0,0,45,2495,24491.24,"5",0,4.534,2035,"150-300","senior","senior driver"
"0","1+","6","1",0,5832,140.48,5,19,"passenger cars",0,0,45,1896,14625,"5",0,4.163,1159,"150-300","senior","senior driver"
"0","1+","3","0",1,6942,150.25,1,2,"passenger cars",0,0,123,1783,21300,"5",0,4.579,1280,"150-300","senior","experienced driver"
"0","1+","2","0",0,17532,45.45,4,6,"passenger cars",0,0,163,1995,34500,"4",1,4.52,1430,"300-450","senior","senior driver"
"1","1","1","0",0,19067,502.91,2,2,"passenger cars",0,1,110,1598,30341.21,"5",1,4.313,1260,"300-450","senior","experienced driver"
"1","1+","1","0",0,22897,959.86,1,4,"passenger cars",0,0,110,1560,25120,"5",1,4.47,1414,"600+","senior","senior driver"
"0","1","1","0",1,20157,85.01,1,1,"passenger cars",0,0,105,1896,21190,"3",1,4.204,1251,"450-600","young adult","young driver"
"1","1","2","0",0,12001,109.4,1,1,"passenger cars",0,1,75,1995,29950,"5",1,4.239,1365,"300-450","adult","experienced driver"
"1","1","1","0",0,16572,2255.02,3,3,"passenger cars",0,1,68,1399,14200,"5",1,3.95,1141,"300-450","senior","experienced driver"
"0","1+","3","0",0,13979,882,1,1,"motorbikes",0,0,0,49,3005,"0",0,5.305,75,"300-450","adult","experienced driver"
"0","1+","1","0",0,14651,85.01,1,10,"passenger cars",0,0,75,1560,17740,"5",1,3.965,1150,"300-450","adult","experienced driver"
"1","1","2","0",1,20103,224.75,2,2,"passenger cars",1,0,100,1896,14206,"5",1,3.953,1165,"450-600","young adult","young driver"
"0","1+","2","0",1,10945,123.05,2,32,"passenger cars",0,0,120,1870,22810,"5",1,4.259,1430,"150-300","adult","experienced driver"
"0","1","1","0",0,7556,537.31,1,1,"passenger cars",0,0,143,1995,28500,"4",0,4.471,1320,"150-300","adult","experienced driver"
"0","1","3","1",1,7682,938.78,1,2,"passenger cars",0,0,90,1597,14484.39,"5",1,4.12,1090,"150-300","adult","experienced driver"
"1","1+","1","0",0,19043,762.61,2,6,"passenger cars",1,0,110,1197,20709.68,"5",0,4.255,1210,"300-450","adult","experienced driver"
"0","1+","1","0",1,11822,66.97,1,10,"passenger cars",0,0,90,1997,22133,"5",1,4.276,1300,"300-450","adult","experienced driver"
"0","1+","3","0",0,975,121.77,1,2,"motorbikes",1,0,0,599,6599,"0",0,2.5,197,"0-150","adult","experienced driver"
"0","1+","4","0",0,6763,93.29,1,3,"vans",0,0,133,1997,18350,"4",1,4.137,1311,"150-300","adult","experienced driver"
"1","1+","2","0",1,21602,128.44,2,7,"vans",0,0,76,2496,19070.11,"5",1,4.6,1787,"450-600","adult","experienced driver"
"1","1+","1","0",0,11834,637.6,1,6,"passenger cars",0,0,105,1896,22455,"5",1,4.204,1251,"300-450","adult","experienced driver"
"0","1+","2","0",0,6281,64.67,1,8,"passenger cars",0,0,121,1870,20840,"4",0,4.58,1290,"150-300","adult","experienced driver"
"0","1+","2","0",0,119,56.63,1,13,"passenger cars",0,0,55,1198,10630,"3",0,3.828,978,"0-150","adult","experienced driver"
"1","1+","1","0",1,20462,77.32,1,8,"passenger cars",0,0,100,1753,19100,"4",1,4.382,1251,"450-600","adult","experienced driver"
"0","1+","2","0",0,16274,117.46,2,15,"passenger cars",1,0,85,1405,7900,"5",0,3.66,965,"300-450","70+","senior driver"
"1","1","1","0",0,11322,123.62,1,1,"vans",1,0,90,1997,15761.24,"5",1,4.108,1185,"150-300","70+","senior driver"
"1","1+","2","0",1,2211,117.06,2,4,"passenger cars",0,0,60,1299,9411.85,"5",0,3.828,1034,"150-300","70+","senior driver"
"1","1+","1","0",1,18445,464.5,3,4,"passenger cars",0,1,150,2776,38291.36,"5",1,4.808,1840,"300-450","adult","experienced driver"
"1","1","1","0",1,9922,122.55,2,2,"passenger cars",0,0,150,2148,38700,"5",1,4.541,1515,"150-300","70+","senior driver"
"1","1+","1","0",0,16039,60.62,1,1,"passenger cars",1,1,115,1984,25660,"4",0,4.703,1348,"300-450","70+","senior driver"
"1","1+","2","0",1,5614,141.81,2,3,"passenger cars",0,0,95,1587,16981,"5",0,4.276,1240,"150-300","adult","experienced driver"
"1","1","1","0",1,18311,100.23,1,1,"passenger cars",0,0,90,1896,15915,"3",1,4.034,1100,"300-450","70+","experienced driver"
"1","1","1","1",1,15947,65.89,1,1,"vans",0,0,95,2148,24137.28,"5",1,4.993,1770,"300-450","senior","senior driver"
"1","1+","1","0",0,14312,1830.21,3,3,"passenger cars",0,0,101,1594,11569.48,"5",0,4.475,1190,"300-450","senior","senior driver"
"1","1+","1","0",0,8035,64.32,1,1,"passenger cars",1,0,90,1598,19400,"5",1,4.315,1365,"150-300","senior","senior driver"
"1","1+","1","0",0,12759,71.22,1,2,"passenger cars",1,0,150,1781,31250,"4",0,4.795,1390,"300-450","senior","senior driver"
"0","1+","1","1",0,2450,99.9,2,9,"motorbikes",0,0,5,49,2467,"0",0,3.427,90,"150-300","senior","senior driver"
"0","1+","1","0",0,11657,640.38,1,7,"passenger cars",0,0,55,999,7800,"5",0,3.495,830,"300-450","70+","experienced driver"
"1","1+","1","0",0,13912,938.18,1,2,"vans",0,0,110,2198,28730,"5",1,4.963,1949,"300-450","senior","senior driver"
"1","1","1","0",0,10654,81.99,1,1,"passenger cars",0,0,90,1197,16680,"5",0,4.236,1139,"150-300","senior","senior driver"
"1","1+","5","0",1,11989,79.28,3,8,"passenger cars",0,0,110,1560,21100,"2",1,4.337,1310,"300-450","senior","experienced driver"
"1","1+","1","0",1,19179,100.19,1,1,"passenger cars",0,0,100,1598,14814.95,"3",0,4.11,1030,"450-600","senior","experienced driver"
"1","1","1","0",0,12871,69.7,1,1,"passenger cars",0,0,110,1560,20340,"5",1,4.276,1247,"300-450","senior","experienced driver"
"1","1+","4","0",1,3196,335.07,1,2,"passenger cars",1,1,224,1995,27600,"5",0,4.239,1320,"150-300","senior","senior driver"
"0","1+","1","0",1,17920,588.44,1,6,"passenger cars",0,0,218,2993,46800,"4",1,4.841,1595,"300-450","senior","senior driver"
"1","1+","1","0",0,13088,690.3,1,8,"passenger cars",1,0,83,1339,17900,"5",0,4.248,1213,"300-450","senior","senior driver"
"1","1+","3","1",1,15188,353.86,1,5,"vans",0,0,143,1560,22005,"4",1,4.628,1385,"300-450","senior","experienced driver"
"1","1","1","0",1,16368,60.69,1,1,"passenger cars",1,1,70,1398,14310,"5",1,4.028,1110,"300-450","senior","young driver"
"1","1","1","0",1,7897,51.95,1,1,"passenger cars",1,0,100,999,19400,"5",0,4.36,1201,"150-300","senior","senior driver"
"1","1+","2","0",0,8617,165.6,3,3,"passenger cars",1,0,60,998,9226,"5",0,3.72,835,"150-300","senior","senior driver"
"0","1+","1","0",1,16804,1397.73,2,9,"passenger cars",0,0,80,1461,23660,"5",1,4.259,1340,"300-450","senior","experienced driver"
"1","1","1","0",0,12784,291.88,1,1,"passenger cars",1,1,61,1124,12795,"5",0,3.85,1010,"300-450","senior","experienced driver"
"1","1+","1","0",0,17480,882,1,3,"passenger cars",0,0,90,1560,18070,"3",1,4.211,1245,"300-450","young adult","young driver"
"1","1+","1","0",0,11046,3180,1,2,"passenger cars",0,0,120,1560,27080.01,"5",1,4.365,1420,"150-300","senior","senior driver"
"1","1+","1","0",1,12907,222.82,1,4,"passenger cars",1,0,75,1248,19609.83,"4",1,4.322,1160,"300-450","senior","senior driver"
"1","1","2","0",1,11222,63.34,1,1,"passenger cars",0,0,90,1997,15530,"4",1,4.265,1240,"150-300","senior","experienced driver"
"0","1+","2","0",0,16541,98.84,1,11,"passenger cars",0,0,66,1086,11750,"5",0,3.565,925,"300-450","senior","senior driver"
"0","1","1","0",0,20343,1300,1,6,"passenger cars",0,0,85,1248,14165.82,"5",0,4.045,1029,"450-600","70+","experienced driver"
"0","1+","1","0",0,10970,194.74,2,7,"vans",0,0,80,1870,17180,"5",1,3.995,1330,"150-300","adult","experienced driver"
"1","1+","1","0",1,8533,139.87,2,4,"passenger cars",0,0,114,1769,17826,"5",0,4.4,1240,"150-300","senior","senior driver"
"0","1+","2","0",0,3896,99.94,2,9,"passenger cars",0,0,120,1870,25985,"2",1,4.355,1425,"150-300","senior","senior driver"
"1","1+","4","0",1,17919,98.71,4,21,"vans",1,0,110,2286,22490,"5",1,4.749,1825,"300-450","senior","senior driver"
"0","1+","1","0",0,1935,1218.92,1,2,"motorbikes",1,0,56,647,8408.16,"0",0,4.108,223,"0-150","senior","senior driver"
"1","1+","1","0",1,9234,4091.4,1,1,"passenger cars",1,1,75,1753,14570,"5",1,4.174,1283,"150-300","senior","senior driver"
"1","1","1","0",0,2491,56.39,1,1,"motorbikes",0,0,77,803,9695,"0",0,4.108,173,"150-300","adult","experienced driver"
"1","1+","1","0",1,19218,882,1,7,"passenger cars",0,0,163,2982,32755,"5",1,4.715,1920,"450-600","senior","senior driver"
"0","1","1","0",0,15324,600.89,3,3,"passenger cars",0,1,61,1124,13580,"5",0,3.85,978,"300-450","senior","senior driver"
"1","1+","6","0",0,1479,569.11,6,7,"motorbikes",1,0,38,398,5999,"0",0,4.596,228,"0-150","senior","senior driver"
"1","1+","6","0",0,3391,58.37,6,7,"motorbikes",1,0,38,49,2467,"0",0,2.72,90,"150-300","senior","senior driver"
"0","1+","3","1",0,10133,930.89,3,6,"vans",1,0,68,1998,18880,"2",1,4.834,1866,"150-300","adult","experienced driver"
"1","1+","2","0",1,18619,146.85,1,2,"passenger cars",0,1,90,1896,14270.08,"4",1,4.14,1170,"300-450","senior","experienced driver"
"1","1+","2","0",1,19654,280.54,1,2,"passenger cars",0,1,90,1896,14980,"5",1,3.916,1127,"450-600","senior","experienced driver"
"1","1+","3","0",0,3344,136.37,1,5,"passenger cars",0,1,82,1398,14310,"5",1,4.028,1110,"150-300","adult","experienced driver"
"1","1+","1","0",1,21278,76.36,1,4,"passenger cars",1,1,83,1328,10801.37,"3",0,3.615,910,"450-600","senior","experienced driver"
"1","1+","4","0",0,11129,70.94,1,4,"vans",0,0,102,1896,25734.6,"5",1,4.89,1790,"150-300","adult","experienced driver"
"0","1+","4","1",0,978,540.78,2,7,"motorbikes",1,0,6,125,4749,"0",0,4.435,173,"0-150","adult","experienced driver"
"0","1+","1","1",1,16750,66.06,1,1,"passenger cars",0,0,136,2034,28200,"5",0,4.273,1270,"300-450","adult","experienced driver"
"0","1+","1","0",1,15383,49.13,1,15,"passenger cars",1,0,90,1582,17830,"5",1,4.245,1266,"300-450","adult","experienced driver"
"1","1","1","0",1,9578,930.5,2,2,"passenger cars",1,0,64,1198,12250,"5",0,4.222,1190,"150-300","adult","experienced driver"
"0","1+","2","0",1,12333,946.32,2,3,"passenger cars",1,0,112,2184,22800,"5",1,4.264,1420,"300-450","adult","experienced driver"
"1","1","1","0",1,21099,3084.12,2,3,"passenger cars",0,1,90,1242,15649.99,"5",0,3.571,865,"450-600","adult","experienced driver"
"0","1+","1","0",0,22073,3135.65,4,11,"passenger cars",0,0,90,1598,21100,"5",1,4.199,1243,"600+","adult","young driver"
"1","1+","2","0",0,2733,284.63,1,8,"passenger cars",1,1,129,1794,24475,"5",0,4.36,1360,"150-300","adult","experienced driver"
"1","1","1","0",0,10458,151.72,1,1,"passenger cars",0,0,125,1794,22700,"5",0,4.2,1105,"150-300","young adult","experienced driver"
"0","1+","1","0",1,13731,90.61,1,5,"passenger cars",0,0,70,1598,23000,"5",1,3.655,1140,"300-450","senior","senior driver"
"1","1+","1","0",1,5931,150.25,1,1,"passenger cars",0,1,100,1597,15379.9,"5",0,4.4,1220,"150-300","senior","senior driver"
"0","1+","2","0",0,6058,882,1,3,"vans",0,0,70,1896,12861.66,"4",1,4.207,1135,"150-300","senior","senior driver"
"1","1+","3","1",0,2383,162.24,3,9,"motorbikes",0,0,15,124,3499,"0",0,2.09,158,"150-300","adult","experienced driver"
"1","1","1","0",1,11529,1764,2,2,"passenger cars",1,0,90,1560,19570,"5",1,4.211,1262,"300-450","adult","experienced driver"
"0","1","1","0",1,13811,882,1,1,"passenger cars",1,0,105,1896,22000,"3",1,4.204,1251,"300-450","adult","young driver"
"1","1+","1","0",0,16814,567.51,3,14,"passenger cars",1,1,175,2387,50150,"4",1,4.72,1580,"300-450","senior","senior driver"
"1","1+","1","0",1,16646,2691.97,2,4,"passenger cars",0,1,75,1560,17410,"5",1,3.965,1165,"300-450","senior","senior driver"
"1","1+","2","0",1,14350,4561.86,2,2,"passenger cars",1,1,110,1896,12392.59,"2",0,3.815,1155,"300-450","senior","senior driver"
"0","1+","1","0",0,4297,165.23,3,4,"passenger cars",0,0,98,1390,13342.47,"5",0,3.812,1000,"150-300","senior","experienced driver"
"1","1+","1","0",0,19940,1764,2,7,"vans",0,0,125,2800,25725.72,"5",1,6.2,2225,"450-600","senior","senior driver"
"1","1+","3","0",1,22834,76.17,1,6,"passenger cars",1,0,306,4966,76850,"4",0,4.913,1735,"600+","senior","senior driver"
"0","1+","1","1",0,17912,391.32,2,7,"passenger cars",1,0,128,1998,20876.16,"4",0,4.52,1280,"300-450","senior","senior driver"
"1","1+","1","0",1,17530,88.84,1,4,"vans",0,0,75,1499,17260,"5",1,4.157,1135,"300-450","senior","senior driver"
"1","1+","3","0",1,2805,63.17,1,5,"passenger cars",1,0,71,1994,17597.63,"5",1,4.315,1220,"150-300","senior","senior driver"
"1","1+","1","0",0,9837,58.8,1,3,"passenger cars",0,0,54,973,8750.74,"3",0,3.741,940,"150-300","senior","experienced driver"
"1","1+","2","0",1,17944,385.86,4,5,"passenger cars",1,0,143,1796,23800,"3",1,4.262,1300,"300-450","senior","senior driver"
"1","1+","8","0",0,293,314.81,2,3,"passenger cars",0,0,75,1991,27625,"5",1,4.273,1360,"0-150","senior","senior driver"
"0","1+","1","0",0,5153,63.17,1,6,"passenger cars",1,0,75,1390,12905,"3",0,3.953,1034,"150-300","adult","experienced driver"
"1","1+","1","0",0,3336,108.71,1,2,"passenger cars",0,0,71,1868,16225,"5",1,4.188,1159,"150-300","senior","experienced driver"
"0","1+","1","0",1,19715,68.45,1,3,"passenger cars",0,0,105,1896,20692.68,"5",1,4.28,1405,"450-600","70+","experienced driver"
"0","1+","1","0",1,16011,82.4,1,2,"passenger cars",0,0,90,1461,20800,"5",1,4.302,1215,"300-450","70+","senior driver"
"0","1+","1","0",0,8925,51.95,1,7,"vans",0,0,70,1997,19420,"5",1,4.137,1295,"150-300","70+","senior driver"
"0","1","1","0",0,15388,313.91,1,1,"vans",0,0,109,2148,24766,"5",1,4.748,1790,"300-450","senior","senior driver"
"0","1","1","0",1,10787,432.16,1,1,"passenger cars",0,0,124,1598,19260,"5",0,4.22,1230,"150-300","senior","senior driver"
"0","1+","2","0",1,17770,1221.11,3,3,"passenger cars",0,1,112,1910,10950,"4",1,3.8,1035,"300-450","senior","senior driver"
"0","1+","7","0",1,12729,140.29,3,8,"passenger cars",0,0,90,1560,19100,"5",1,4.481,1277,"300-450","70+","senior driver"
"1","1+","3","0",0,14304,882,2,9,"passenger cars",0,0,61,1995,24105,"5",0,4.63,1400,"300-450","senior","senior driver"
"1","1","1","0",0,12724,967.12,2,2,"passenger cars",0,0,90,1997,18943,"5",1,4.276,1300,"300-450","senior","senior driver"
"1","1+","2","1",1,14751,58.37,1,3,"passenger cars",0,0,125,1896,21636.44,"5",1,4.152,1270,"300-450","senior","senior driver"
"0","1+","2","0",0,13819,882,1,7,"passenger cars",0,0,90,1560,20240,"2",1,4.159,1235,"300-450","senior","senior driver"
"1","1","1","0",0,10570,882,1,1,"vans",0,0,110,1753,17110,"5",1,4.555,1401,"150-300","senior","senior driver"
"1","1+","2","0",0,21633,362.87,1,1,"passenger cars",0,0,220,2261,35240,"4",0,4.765,1515,"450-600","senior","senior driver"
"0","1+","5","1",1,14439,73.22,1,13,"vans",0,0,90,1560,21130,"5",1,4.38,1410,"300-450","senior","senior driver"
"1","1","1","0",1,14105,933.95,2,2,"passenger cars",0,0,105,1896,18009.23,"5",1,4.315,1250,"300-450","senior","experienced driver"
"1","1+","1","0",1,16291,882,1,3,"passenger cars",0,0,92,1560,22614.21,"4",1,4.38,1320,"300-450","senior","senior driver"
"1","1","1","0",0,10823,88.82,1,1,"passenger cars",0,1,60,1390,9600.54,"3",0,3.88,995,"150-300","young adult","young driver"
"0","1+","3","0",0,8491,67.11,1,7,"passenger cars",0,0,115,1997,18943,"4",0,4.276,1300,"150-300","senior","senior driver"
"1","1+","1","0",0,9257,49.95,1,1,"passenger cars",0,0,90,1364,19800,"4",1,4.54,1275,"150-300","senior","senior driver"
"0","1+","1","0",0,13047,591.93,1,5,"passenger cars",0,0,105,1896,24040,"4",1,4.554,1345,"300-450","senior","senior driver"
"0","1+","1","0",0,17172,1289.75,4,16,"passenger cars",1,1,101,1595,19442.74,"5",0,4.152,1165,"300-450","senior","senior driver"
"1","1+","3","0",1,8802,273.06,1,2,"passenger cars",0,0,60,1242,10380,"5",0,3.8,875,"150-300","senior","senior driver"
"0","1+","1","0",0,17366,882,1,3,"passenger cars",0,0,70,1398,15500,"5",1,4.03,1184,"300-450","senior","experienced driver"
"0","1+","1","0",1,8170,198.79,1,3,"passenger cars",0,0,120,1870,23745,"4",1,4.498,1295,"150-300","adult","experienced driver"
"0","1+","3","0",0,2912,135.8,2,2,"motorbikes",0,0,100,599,7377.42,"0",0,2.5,195,"150-300","senior","senior driver"
"1","1+","1","0",0,13468,4944,2,10,"passenger cars",0,0,90,1997,21036,"5",1,4.276,1300,"300-450","senior","experienced driver"
"0","1+","1","0",1,10154,325.53,3,7,"passenger cars",0,0,130,1998,23400,"4",0,4.77,1435,"150-300","senior","senior driver"
"0","1","1","0",1,21256,162.63,1,5,"vans",0,0,90,1753,16610,"5",1,4.555,1399,"450-600","senior","senior driver"
"0","1+","1","0",1,10622,261.62,3,15,"passenger cars",0,0,100,1396,19300.25,"5",0,4.31,1258,"150-300","senior","senior driver"
"1","1+","2","0",0,10933,277.02,1,1,"passenger cars",0,0,90,2148,36500,"5",1,4.541,1495,"150-300","senior","experienced driver"
"0","1","2","0",1,11958,56.08,1,1,"passenger cars",0,0,102,1998,30375.15,"4",1,4.515,1400,"300-450","senior","senior driver"
"0","1+","2","0",1,15854,236.92,1,3,"passenger cars",0,0,90,1896,23470,"5",1,4.238,1280,"300-450","senior","senior driver"
"1","1","1","0",0,9013,304.13,1,1,"passenger cars",0,0,90,1560,18350,"5",1,4.337,1302,"150-300","senior","experienced driver"
"1","1","2","0",0,16779,538.99,1,26,"passenger cars",0,1,110,1896,30310,"4",1,4.544,1450,"300-450","senior","senior driver"
"1","1+","1","0",0,11932,62.43,1,1,"passenger cars",0,0,80,1870,16810,"5",1,4.129,1140,"300-450","senior","senior driver"
"0","1+","2","0",1,14022,3190.2,2,8,"passenger cars",0,0,90,1753,17180,"5",1,4.174,1211,"300-450","senior","senior driver"
"1","1+","2","0",0,9190,67.11,1,14,"passenger cars",0,0,75,999,8780,"5",0,4.057,969,"150-300","senior","experienced driver"
"1","1+","1","0",0,11738,51.95,1,3,"vans",0,0,75,1248,17518.57,"5",1,3.959,1300,"300-450","senior","senior driver"
"0","1+","3","0",0,14929,311.49,4,9,"passenger cars",0,0,103,1991,26400,"5",0,4.273,1360,"300-450","senior","experienced driver"
"1","1+","1","0",1,15225,1068.86,5,13,"vans",0,0,129,2148,25623.31,"2",1,6.124,1645,"300-450","senior","senior driver"
"1","1","1","0",1,7477,51.95,1,1,"passenger cars",0,0,60,1242,11525,"5",0,3.865,875,"150-300","senior","senior driver"
"0","1","4","0",1,16915,60.62,2,2,"passenger cars",0,0,140,1968,31610,"4",1,4.586,1430,"300-450","senior","senior driver"
"1","1+","4","0",0,10040,45.74,4,28,"passenger cars",0,0,90,1896,25430,"5",1,4.129,1291,"150-300","senior","senior driver"
"1","1+","2","1",1,17551,165.14,1,2,"passenger cars",1,1,68,1781,25165,"5",1,4.149,1128,"300-450","senior","senior driver"
"0","1+","1","0",0,10346,51.95,1,1,"passenger cars",0,0,80,1390,14685,"5",0,3.916,1021,"150-300","senior","senior driver"
"0","1+","2","0",1,12622,255.89,2,8,"passenger cars",0,0,105,2148,38439.2,"5",1,4.541,1495,"300-450","adult","experienced driver"
"0","1","1","0",0,16236,180.73,1,1,"vans",0,0,105,1896,17985.8,"5",1,4.405,1410,"300-450","senior","senior driver"
"0","1+","3","0",0,14216,1027.33,3,3,"passenger cars",0,0,315,4414,62300,"4",0,4.851,1816,"300-450","senior","experienced driver"
"1","1","2","0",1,16185,1108.28,2,2,"passenger cars",0,0,110,1896,19502.84,"3",1,4.149,1260,"300-450","senior","experienced driver"
"1","1+","1","0",0,22307,3214.43,3,13,"passenger cars",0,0,110,1461,16100,"5",1,4.498,1187,"600+","senior","senior driver"
"0","1+","2","0",0,7469,67.11,2,3,"passenger cars",0,0,144,2204,28400,"4",1,4.665,1428,"150-300","senior","experienced driver"
"0","1+","2","0",0,18831,51.95,1,6,"passenger cars",0,0,90,1560,18350,"5",1,4.337,1302,"300-450","senior","experienced driver"
"1","1","2","0",1,13338,75.32,1,4,"vans",0,1,105,1868,14890,"5",1,4.108,1185,"300-450","young adult","young driver"
"0","1+","3","0",0,19909,69.69,1,11,"passenger cars",0,1,121,1390,14685,"5",0,3.916,1021,"450-600","senior","senior driver"
"1","1+","5","0",1,3762,251.7,1,12,"passenger cars",0,0,65,1461,13230.97,"5",1,4.388,1205,"150-300","senior","experienced driver"
"0","1+","3","0",0,3985,78.77,1,8,"passenger cars",0,0,69,1196,8047.55,"3",0,4.066,735,"150-300","senior","experienced driver"
"0","1+","4","0",1,15089,1688.63,1,7,"passenger cars",0,1,115,1461,19880,"3",1,4.302,1215,"300-450","senior","senior driver"
"1","1+","3","1+",1,16912,5731.47,4,7,"passenger cars",0,0,109,1461,9450,"5",1,4.02,1090,"300-450","senior","senior driver"
"1","1+","1","0",1,7948,167.64,1,9,"passenger cars",0,0,75,1149,11530,"5",0,3.71,930,"150-300","senior","experienced driver"
"0","1+","1","0",0,19061,921.86,1,11,"passenger cars",0,0,110,1997,21230,"4",1,4.6,1485,"300-450","senior","senior driver"
"0","1+","6","0",1,14958,142.77,1,9,"vans",0,0,70,1590,11136.75,"5",1,3.635,990,"300-450","senior","experienced driver"
"1","1+","3","0",1,6887,64.32,1,1,"passenger cars",0,1,105,1998,22050,"4",1,4.22,1385,"150-300","senior","experienced driver"
