"Premium","Cost_claims_year","Power","Cylinder_capacity","Value_vehicle","Length","Weight","Broker","newClient","Policies_in_force","Lapse","Payment","N_claims_year","N_claims_history","Type_risk","Urban","Second_driver","N_doors","Diesel"
230.97,882,75,1997,19379,4.188,1200,"0","0","1","0","0","1","1","passenger cars","1","0","5","0"
423.98,148.84,306,4966,95500,5.043,1800,"1","1","2","0","0","1","1","passenger cars","0","0","4","0"
640.88,411.39,177,1995,31450,4.239,1375,"0","1","1","0","0","2","2 - 4","passenger cars","1","1","5","1"
260,882,103,1581,12843.63,4.025,1125,"1","0","3","0","0","1","5+","passenger cars","0","0","3","0"
415.57,576.22,177,1995,37900,4.527,1505,"0","1","1","0","0","2","2 - 4","passenger cars","0","1","5","1"
271.07,938.85,75,1390,18760,3.826,895,"0","1","1","0","0","2","2 - 4","passenger cars","1","0","5","0"
302.69,145.45,75,1974,18728,4.4,1340,"1","0","2","0","0","1","5+","passenger cars","1","0","3","0"
190.32,165.86,80,1388,13430,3.916,1047,"0","0","2","0","0","2","2 - 4","passenger cars","1","0","5","0"
289.45,214.75,115,1685,23890,4.41,1415,"1","0","2","1","0","1","5+","passenger cars","1","0","5","1"
542.53,5082.92,85,1248,16215,4.035,1040,"0","1","1","0","0","3","2 - 4","passenger cars","1","1","5","0"
103.11,121.17,140,1968,31610,4.586,1430,"0","1","1","0","0","1","5+","passenger cars","1","0","4","1"
209.18,56.85,83,1399,10150,3.88,995,"1","1","1","0","0","1","1","passenger cars","1","0","5","0"
443,114.9,120,1870,25200,4.675,1463,"1","1","1","1","1","1","1","passenger cars","1","1","5","1"
427.94,981.66,70,1248,14885,4.159,1310,"0","1","1","0","1","2","2 - 4","vans","0","0","4","1"
258.5,70.18,70,1895,19755.27,4.26,1250,"1","1","2","0","0","1","1","passenger cars","0","1","3","0"
417.29,168.66,105,1896,22595,4.204,1287,"1","0","1","0","1","1","2 - 4","passenger cars","1","0","5","1"
253.7,671.72,95,1587,19782,4.276,1240,"1","1","2","0","0","2","2 - 4","passenger cars","1","0","5","0"
866.84,1093.62,70,1598,28553.19,4.313,1260,"1","0","3","1","0","2","5+","passenger cars","0","1","5","1"
225.87,10764,105,1248,16960,3.864,1090,"1","0","4","0","0","4+","5+","vans","0","0","2","1"
252.05,51.95,76,2184,23750,4.264,1440,"0","0","2","1","0","1","5+","passenger cars","1","0","5","1"
740.98,479.85,90,1248,21865,4.39,1270,"0","0","2","0","0","2","5+","vans","0","0","6","1"
328.16,222.99,118,1749,18800,4.6,1315,"1","1","1","1","1","2","2 - 4","passenger cars","0","0","4","0"
370.48,1764,109,1870,21114,5.182,1728,"0","0","4","0","0","1","5+","vans","0","0","5","1"
593.35,2496.95,140,2500,15013.29,4.65,1605,"0","0","2","0","1","1","1","vans","0","0","5","1"
235.16,49.95,90,1997,17630,4.137,1311,"0","0","2","0","0","1","2 - 4","vans","0","1","5","1"
312.68,653.41,60,2496,39480,4.8,1575,"1","0","2","1","1","3","5+","passenger cars","1","0","5","0"
340.3,882,86,1753,20300,4.382,1253,"0","0","3","0","0","2","2 - 4","passenger cars","0","0","5","1"
520.43,88.86,102,1493,15890,4.34,1290,"0","1","1","0","0","1","1","passenger cars","0","0","5","1"
314.59,49.95,64,1896,13769.19,4.02,1060,"0","0","1","0","0","1","5+","passenger cars","0","1","5","1"
273.6,882,90,1868,12620,3.822,1010,"0","0","1","0","0","1","2 - 4","passenger cars","0","0","5","0"
255.63,364.3,105,1997,16390,4.108,1280,"0","0","2","0","0","1","2 - 4","vans","0","0","3","1"
228.03,49.95,105,1868,13260,3.995,970,"0","0","4","0","0","1","1","vans","0","0","5","1"
487.98,4465.07,100,1997,27800,4.778,1496,"1","0","2","0","1","1","2 - 4","passenger cars","1","1","5","1"
389.55,669.31,110,2993,55600,4.667,2105,"0","0","4","0","1","4+","5+","passenger cars","0","0","5","1"
345.83,66.85,110,2463,30145,5.399,1894,"0","0","4","1","1","4+","5+","vans","0","0","5","1"
268.73,952.69,75,2283,16497.78,4.32,1480,"0","0","2","0","0","4+","5+","passenger cars","0","0","5","1"
294.44,370.16,75,1796,26100,4.471,1385,"1","0","3","0","0","4+","5+","passenger cars","0","0","5","0"
265.27,1001.81,68,998,9360,3.435,875,"1","0","1","0","1","1","2 - 4","passenger cars","0","0","5","0"
506.02,254.83,105,1896,22595,4.204,1287,"1","0","1","0","1","1","2 - 4","passenger cars","1","1","5","1"
287.91,882,90,2664,29293.33,4.665,1850,"0","0","3","0","0","3","2 - 4","passenger cars","0","0","5","1"
327.2,119.06,100,1995,18850,4.317,1560,"0","0","2","0","1","3","5+","passenger cars","0","0","5","1"
231.1,70.57,75,1360,15620,3.85,1089,"0","1","1","0","1","1","1","passenger cars","1","0","5","0"
426.33,2186.8,82,1870,19563.16,4.782,1684,"1","0","1","0","0","1","5+","vans","0","0","5","1"
225.73,277.62,60,1242,9886.65,3.723,935,"0","1","1","0","1","3","2 - 4","passenger cars","0","0","3","0"
296.35,299.36,45,2495,24491.24,4.534,2035,"0","0","6+","1","0","4+","5+","passenger cars","0","0","5","0"
232.2,140.48,45,1896,14625,4.163,1159,"0","0","6+","1","0","4+","5+","passenger cars","0","0","5","0"
246.21,150.25,123,1783,21300,4.579,1280,"0","0","3","0","1","1","2 - 4","passenger cars","0","0","5","0"
404.9,45.45,163,1995,34500,4.52,1430,"0","0","2","0","0","4+","5+","passenger cars","0","0","4","1"
448.32,502.91,110,1598,30341.21,4.313,1260,"1","1","1","0","0","2","2 - 4","passenger cars","0","1","5","1"
951.78,959.86,110,1560,25120,4.47,1414,"1","0","1","0","0","1","2 - 4","passenger cars","0","0","5","1"
492.7,85.01,105,1896,21190,4.204,1251,"0","1","1","0","1","1","1","passenger cars","0","0","3","1"
308.62,109.4,75,1995,29950,4.239,1365,"1","1","2","0","0","1","1","passenger cars","0","1","5","1"
381.63,2255.02,68,1399,14200,3.95,1141,"1","1","1","0","0","3","2 - 4","passenger cars","0","1","5","1"
336.21,882,0,49,3005,3.68,75,"0","0","3","0","0","1","1","motorbikes","0","0","0","0"
346.71,85.01,75,1560,17740,3.965,1150,"0","0","1","0","0","1","5+","passenger cars","0","0","5","1"
490.07,224.75,100,1896,14206,3.953,1165,"1","1","2","0","1","2","2 - 4","passenger cars","1","0","5","1"
294.87,123.05,120,1870,22810,4.259,1430,"0","0","2","0","1","2","5+","passenger cars","0","0","5","1"
253.46,537.31,143,1995,28500,4.471,1320,"0","1","1","0","0","1","1","passenger cars","0","0","4","0"
255.02,938.78,90,1597,14484.39,4.12,1090,"0","1","3","1","1","1","2 - 4","passenger cars","0","0","5","1"
447.67,762.61,110,1197,20709.68,4.255,1210,"1","0","1","0","0","2","5+","passenger cars","1","0","5","0"
306.2,66.97,90,1997,22133,4.276,1300,"0","0","1","0","1","1","5+","passenger cars","0","0","5","1"
108.27,121.77,0,599,6599,2.5,197,"0","0","3","0","0","1","2 - 4","motorbikes","1","0","0","0"
244.01,93.29,133,1997,18350,4.137,1311,"0","0","4","0","0","1","2 - 4","vans","0","0","4","1"
593.46,128.44,76,2496,19070.11,4.6,1787,"1","0","2","0","1","2","5+","vans","0","0","5","1"
306.35,637.6,105,1896,22455,4.204,1251,"1","0","1","0","0","1","5+","passenger cars","0","0","5","1"
238.01,64.67,121,1870,20840,4.382,1290,"0","0","2","0","0","1","5+","passenger cars","0","0","4","0"
47.46,56.63,55,1198,10630,3.828,978,"0","0","2","0","0","1","5+","passenger cars","0","0","3","0"
509.67,77.32,100,1753,19100,4.382,1251,"1","0","1","0","1","1","5+","passenger cars","0","0","4","1"
374.76,117.46,85,1405,7900,3.66,965,"0","0","2","0","0","2","5+","passenger cars","1","0","5","0"
299.78,123.62,90,1997,15761.24,4.108,1185,"1","1","1","0","0","1","1","vans","1","0","5","1"
151.31,117.06,60,1299,9411.85,3.828,1034,"1","0","2","0","1","2","2 - 4","passenger cars","0","0","5","0"
429.67,464.5,150,2776,38291.36,4.808,1840,"1","0","1","0","1","3","2 - 4","passenger cars","0","1","5","1"
282.02,122.55,150,2148,38700,4.541,1515,"1","1","1","0","1","2","2 - 4","passenger cars","0","0","5","1"
370.47,60.62,115,1984,25660,4.703,1348,"1","0","1","0","0","1","1","passenger cars","1","1","4","0"
229.42,141.81,95,1587,16981,4.276,1240,"1","0","2","0","1","2","2 - 4","passenger cars","0","0","5","0"
425.54,100.23,90,1896,15915,4.034,1100,"1","1","1","0","1","1","1","passenger cars","0","0","3","1"
368.85,65.89,95,2148,24137.28,4.993,1770,"1","1","1","1","1","1","1","vans","0","0","5","1"
341.2,1830.21,101,1594,11569.48,4.475,1190,"1","0","1","0","0","3","2 - 4","passenger cars","0","0","5","0"
259.12,64.32,90,1598,19400,4.315,1365,"1","0","1","0","0","1","1","passenger cars","1","0","5","1"
319.09,71.22,150,1781,31250,4.795,1390,"1","0","1","0","0","1","2 - 4","passenger cars","1","0","4","0"
160.12,99.9,5,49,2467,4.596,90,"0","0","1","1","0","2","5+","motorbikes","0","0","0","0"
304.05,640.38,55,999,7800,3.495,830,"0","0","1","0","0","1","5+","passenger cars","0","0","5","0"
335.25,938.18,110,2198,28730,4.963,1949,"1","0","1","0","0","1","2 - 4","vans","0","0","5","1"
291.1,81.99,90,1197,16680,4.236,1139,"1","1","1","0","0","1","1","passenger cars","0","0","5","0"
308.43,79.28,110,1560,21100,4.337,1310,"1","0","5","0","1","3","5+","passenger cars","0","0","2","1"
452.14,100.19,100,1598,14814.95,4.11,1030,"1","0","1","0","1","1","1","passenger cars","0","0","3","0"
320.72,69.7,110,1560,20340,4.276,1247,"1","1","1","0","0","1","1","passenger cars","0","0","5","1"
186.98,335.07,224,1995,27600,4.239,1320,"1","0","4","0","1","1","2 - 4","passenger cars","1","1","5","0"
415.02,588.44,218,2993,46800,4.841,1595,"0","0","1","0","1","1","5+","passenger cars","0","0","4","1"
323.6,690.3,83,1339,17900,4.248,1213,"1","0","1","0","0","1","5+","passenger cars","1","0","5","0"
355.63,353.86,143,1560,22005,4.628,1385,"1","0","3","1","1","1","5+","vans","0","0","4","1"
376.91,60.69,70,1398,14310,4.028,1110,"1","1","1","0","1","1","1","passenger cars","1","1","5","1"
257.58,51.95,100,999,19400,4.36,1201,"1","1","1","0","1","1","1","passenger cars","1","0","5","0"
266.22,165.6,60,998,9226,3.72,835,"1","0","2","0","0","3","2 - 4","passenger cars","1","0","5","0"
386.88,1397.73,80,1461,23660,4.259,1340,"0","0","1","0","1","2","5+","passenger cars","0","0","5","1"
319.4,291.88,61,1124,12795,3.85,1010,"1","1","1","0","0","1","1","passenger cars","1","1","5","0"
403.57,882,90,1560,18070,4.211,1245,"1","0","1","0","0","1","2 - 4","passenger cars","0","0","3","1"
296.17,3180,120,1560,27080.01,4.365,1420,"1","0","1","0","0","1","2 - 4","passenger cars","0","0","5","1"
321.25,222.82,75,1248,19609.83,4.322,1160,"1","0","1","0","1","1","2 - 4","passenger cars","1","0","4","1"
298.38,63.34,90,1997,15530,4.265,1240,"1","1","2","0","1","1","1","passenger cars","0","0","4","1"
381.02,98.84,66,1086,11750,3.565,925,"0","0","2","0","0","1","5+","passenger cars","0","0","5","0"
502.99,1300,85,1248,14165.82,4.045,1029,"0","1","1","0","0","1","5+","passenger cars","0","0","5","0"
295.16,194.74,80,1870,17180,3.995,1330,"0","0","1","0","0","2","5+","vans","0","0","5","1"
265.16,139.87,114,1769,17826,4.4,1240,"1","0","1","0","1","2","2 - 4","passenger cars","0","0","5","0"
203.27,99.94,120,1870,25985,4.355,1425,"0","0","2","0","0","2","5+","passenger cars","0","0","2","1"
414.99,98.71,110,2286,22490,4.749,1825,"1","0","4","0","1","4+","5+","vans","1","0","5","1"
140.25,1218.92,56,647,8408.16,3.322,223,"0","0","1","0","0","1","2 - 4","motorbikes","1","0","0","0"
273.7,4091.4,75,1753,14570,4.174,1283,"1","0","1","0","1","1","1","passenger cars","1","1","5","1"
161.9,56.39,77,803,9695,3.72,173,"1","1","1","0","0","1","1","motorbikes","0","0","0","0"
453.49,882,163,2982,32755,4.715,1920,"1","0","1","0","1","1","5+","passenger cars","0","0","5","1"
357.93,600.89,61,1124,13580,3.85,978,"0","1","1","0","0","3","2 - 4","passenger cars","0","1","5","0"
123.53,569.11,38,398,5999,2.897,228,"1","0","6+","0","0","4+","5+","motorbikes","1","0","0","0"
192.5,58.37,38,49,2467,4.596,90,"1","0","6+","0","0","4+","5+","motorbikes","1","0","0","0"
284.64,930.89,68,1998,18880,4.834,1866,"0","0","3","1","0","3","5+","vans","1","0","2","1"
434.62,146.85,90,1896,14270.08,4.14,1170,"1","0","2","0","1","1","2 - 4","passenger cars","0","1","4","1"
469.79,280.54,90,1896,14980,3.916,1127,"1","0","2","0","1","1","2 - 4","passenger cars","0","1","5","1"
191.38,136.37,82,1398,14310,4.028,1110,"1","0","3","0","0","1","5+","passenger cars","0","1","5","1"
563.29,76.36,83,1328,10801.37,3.615,910,"1","0","1","0","1","1","2 - 4","passenger cars","1","1","3","0"
297.22,70.94,102,1896,25734.6,4.89,1790,"1","0","4","0","0","1","2 - 4","vans","0","0","5","1"
108.4,540.78,6,125,4749,4.596,173,"0","0","4","1","0","2","5+","motorbikes","1","0","0","0"
385.81,66.06,136,2034,28200,4.273,1270,"0","0","1","1","1","1","1","passenger cars","0","0","5","0"
358.81,49.13,90,1582,17830,4.245,1266,"0","0","1","0","1","1","5+","passenger cars","1","0","5","1"
277.89,930.5,64,1198,12250,4.222,1190,"1","1","1","0","1","2","2 - 4","passenger cars","1","0","5","0"
313.03,946.32,112,2184,22800,4.264,1420,"0","0","2","0","1","2","2 - 4","passenger cars","1","0","5","1"
550.22,3084.12,90,1242,15649.99,3.571,865,"1","1","1","0","1","2","2 - 4","passenger cars","0","1","5","0"
650.03,3135.65,90,1598,21100,4.199,1243,"0","0","1","0","0","4+","5+","passenger cars","0","0","5","1"
171.36,284.63,129,1794,24475,4.36,1360,"1","0","2","0","0","1","5+","passenger cars","1","1","5","0"
288.69,151.72,125,1794,22700,4.2,1105,"1","1","1","0","0","1","1","passenger cars","0","0","5","0"
332.76,90.61,70,1598,23000,3.655,1140,"0","0","1","0","1","1","5+","passenger cars","0","0","5","1"
233.46,150.25,100,1597,15379.9,4.4,1220,"1","0","1","0","1","1","1","passenger cars","0","1","5","0"
235.15,882,70,1896,12861.66,4.207,1135,"0","0","2","0","0","1","2 - 4","vans","0","0","4","1"
157.75,162.24,15,124,3499,3.595,158,"1","0","3","1","0","3","5+","motorbikes","0","0","0","0"
302.43,1764,90,1560,19570,4.211,1262,"1","1","1","0","1","2","2 - 4","passenger cars","1","0","5","1"
333.87,882,105,1896,22000,4.204,1251,"0","1","1","0","1","1","1","passenger cars","1","0","3","1"
387,567.51,175,2387,50150,4.72,1580,"1","0","1","0","0","3","5+","passenger cars","1","1","4","1"
383.32,2691.97,75,1560,17410,3.965,1165,"1","0","1","0","1","2","2 - 4","passenger cars","0","1","5","1"
341.92,4561.86,110,1896,12392.59,3.815,1155,"1","0","2","0","1","2","2 - 4","passenger cars","1","1","2","0"
210.47,165.23,98,1390,13342.47,3.812,1000,"0","0","1","0","0","3","2 - 4","passenger cars","0","0","5","0"
482.36,1764,125,2800,25725.72,5.651,2225,"1","0","1","0","0","2","5+","vans","0","0","5","1"
886.06,76.17,306,4966,76850,4.913,1735,"1","0","3","0","1","1","5+","passenger cars","1","0","4","0"
414.84,391.32,128,1998,20876.16,4.52,1280,"0","0","1","1","0","2","5+","passenger cars","1","0","4","0"
404.87,88.84,75,1499,17260,4.157,1135,"1","0","1","0","1","1","2 - 4","vans","0","0","5","1"
174.33,63.17,71,1994,17597.63,4.315,1220,"1","0","3","0","1","1","5+","passenger cars","1","0","5","1"
281.01,58.8,54,973,8750.74,3.741,940,"1","0","1","0","0","1","2 - 4","passenger cars","0","0","3","0"
415.69,385.86,143,1796,23800,4.262,1300,"1","0","2","0","1","4+","5+","passenger cars","1","0","3","1"
67.74,314.81,75,1991,27625,4.273,1360,"1","0","6+","0","0","2","2 - 4","passenger cars","0","0","5","1"
223.26,63.17,75,1390,12905,3.953,1034,"0","0","1","0","0","1","5+","passenger cars","1","0","3","0"
191.05,108.71,71,1868,16225,4.188,1159,"1","0","1","0","0","1","2 - 4","passenger cars","0","0","5","1"
471.89,68.45,105,1896,20692.68,4.28,1405,"0","0","1","0","1","1","2 - 4","passenger cars","0","0","5","1"
369.97,82.4,90,1461,20800,4.302,1215,"0","0","1","0","1","1","2 - 4","passenger cars","0","0","5","1"
269.89,51.95,70,1997,19420,4.137,1295,"0","0","1","0","0","1","5+","vans","0","0","5","1"
358.92,313.91,109,2148,24766,4.748,1790,"0","1","1","0","0","1","1","vans","0","0","5","1"
292.89,432.16,124,1598,19260,4.22,1230,"0","1","1","0","1","1","1","passenger cars","0","0","5","0"
411.15,1221.11,112,1910,10950,3.8,1035,"0","0","2","0","1","3","2 - 4","passenger cars","0","1","4","1"
318.62,140.29,90,1560,19100,4.481,1277,"0","0","6+","0","1","3","5+","passenger cars","0","0","5","1"
341.05,882,61,1995,24105,4.63,1400,"1","0","3","0","0","2","5+","passenger cars","0","0","5","0"
318.55,967.12,90,1997,18943,4.276,1300,"1","1","1","0","0","2","2 - 4","passenger cars","0","0","5","1"
348.43,58.37,125,1896,21636.44,4.152,1270,"1","0","2","1","1","1","2 - 4","passenger cars","0","0","5","1"
333.98,882,90,1560,20240,4.159,1235,"0","0","2","0","0","1","5+","passenger cars","0","0","2","1"
290.07,882,110,1753,17110,4.555,1401,"1","1","1","0","0","1","1","vans","0","0","5","1"
596.51,362.87,220,2261,35240,4.765,1515,"1","0","2","0","0","1","1","passenger cars","0","0","4","0"
343.32,73.22,90,1560,21130,4.38,1410,"0","0","5","1","1","1","5+","vans","0","0","5","1"
338.09,933.95,105,1896,18009.23,4.315,1250,"1","1","1","0","1","2","2 - 4","passenger cars","0","0","5","1"
375.26,882,92,1560,22614.21,4.38,1320,"1","0","1","0","1","1","2 - 4","passenger cars","0","0","4","1"
293.35,88.82,60,1390,9600.54,3.88,995,"1","1","1","0","0","1","1","passenger cars","0","1","3","0"
264.65,67.11,115,1997,18943,4.276,1300,"0","0","3","0","0","1","5+","passenger cars","0","0","4","0"
273.97,49.95,90,1364,19800,4.54,1275,"1","0","1","0","0","1","1","passenger cars","0","0","4","1"
323.04,591.93,105,1896,24040,4.554,1345,"0","0","1","0","0","1","5+","passenger cars","0","0","4","1"
395.4,1289.75,101,1595,19442.74,4.152,1165,"0","0","1","0","0","4+","5+","passenger cars","1","1","5","0"
268.45,273.06,60,1242,10380,3.8,875,"1","0","3","0","1","1","2 - 4","passenger cars","0","0","5","0"
400.8,882,70,1398,15500,4.03,1184,"0","0","1","0","0","1","2 - 4","passenger cars","0","0","5","1"
260.65,198.79,120,1870,23745,4.498,1295,"0","0","1","0","1","1","2 - 4","passenger cars","0","0","4","1"
178.16,135.8,100,599,7377.42,2.09,195,"0","0","3","0","0","2","2 - 4","motorbikes","0","0","0","0"
328.98,4944,90,1997,21036,4.276,1300,"1","0","1","0","0","2","5+","passenger cars","0","0","5","1"
284.9,325.53,130,1998,23400,4.77,1435,"0","0","1","0","1","3","5+","passenger cars","0","0","4","0"
561.6,162.63,90,1753,16610,4.555,1399,"0","1","1","0","1","1","5+","vans","0","0","5","1"
290.7,261.62,100,1396,19300.25,4.31,1258,"0","0","1","0","1","3","5+","passenger cars","0","0","5","0"
294.73,277.02,90,2148,36500,4.541,1495,"1","0","2","0","0","1","1","passenger cars","0","0","5","1"
308.04,56.08,102,1998,30375.15,4.515,1400,"0","1","2","0","1","1","1","passenger cars","0","0","4","1"
367.07,236.92,90,1896,23470,4.238,1280,"0","0","2","0","1","1","2 - 4","passenger cars","0","0","5","1"
270.96,304.13,90,1560,18350,4.337,1302,"1","1","1","0","0","1","1","passenger cars","0","0","5","1"
386.33,538.99,110,1896,30310,4.544,1450,"1","1","2","0","0","1","5+","passenger cars","0","1","4","1"
307.71,62.43,80,1870,16810,4.129,1140,"1","0","1","0","0","1","1","passenger cars","0","0","5","1"
336.82,3190.2,90,1753,17180,4.174,1211,"0","0","2","0","1","2","5+","passenger cars","0","0","5","1"
273.13,67.11,75,999,8780,4.057,969,"1","0","2","0","0","1","5+","passenger cars","0","0","5","0"
305.09,51.95,75,1248,17518.57,3.959,1300,"1","0","1","0","0","1","2 - 4","vans","0","0","5","1"
351.47,311.49,103,1991,26400,4.273,1360,"0","0","3","0","0","4+","5+","passenger cars","0","0","5","0"
356.32,1068.86,129,2148,25623.31,6.124,1645,"1","0","1","0","1","4+","5+","vans","0","0","2","1"
252.55,51.95,60,1242,11525,3.865,875,"1","1","1","0","1","1","1","passenger cars","0","0","5","0"
389.34,60.62,140,1968,31610,4.586,1430,"0","1","4","0","1","2","2 - 4","passenger cars","0","0","4","1"
283.51,45.74,90,1896,25430,4.129,1291,"1","0","4","0","0","4+","5+","passenger cars","0","0","5","1"
405.37,165.14,68,1781,25165,4.149,1128,"1","0","2","1","1","1","2 - 4","passenger cars","1","1","5","1"
287.3,51.95,80,1390,14685,3.916,1021,"0","0","1","0","0","1","1","passenger cars","0","0","5","0"
316.96,255.89,105,2148,38439.2,4.541,1495,"0","0","2","0","1","2","5+","passenger cars","0","0","5","1"
374.15,180.73,105,1896,17985.8,4.405,1410,"0","1","1","0","0","1","1","vans","0","0","5","1"
339.76,1027.33,315,4414,62300,4.851,1816,"0","0","3","0","0","3","2 - 4","passenger cars","0","0","4","0"
373.25,1108.28,110,1896,19502.84,4.149,1260,"1","1","2","0","1","2","2 - 4","passenger cars","0","0","3","1"
688.66,3214.43,110,1461,16100,4.498,1187,"1","0","1","0","0","3","5+","passenger cars","0","0","5","1"
252.45,67.11,144,2204,28400,4.665,1428,"0","0","2","0","0","2","2 - 4","passenger cars","0","0","4","1"
440.92,51.95,90,1560,18350,4.337,1302,"0","0","2","0","0","1","5+","passenger cars","0","0","5","1"
326.9,75.32,105,1868,14890,4.108,1185,"1","1","2","0","1","1","2 - 4","vans","0","1","5","1"
480.65,69.69,121,1390,14685,3.916,1021,"0","0","3","0","0","1","5+","passenger cars","0","1","5","0"
200.51,251.7,65,1461,13230.97,4.388,1205,"1","0","5","0","1","1","5+","passenger cars","0","0","5","1"
204.79,78.77,69,1196,8047.55,4.066,735,"0","0","3","0","0","1","5+","passenger cars","0","0","3","0"
353.91,1688.63,115,1461,19880,4.302,1215,"0","0","4","0","1","1","5+","passenger cars","0","1","3","1"
389.26,5731.47,109,1461,9450,4.02,1090,"1","0","3","1","1","4+","5+","passenger cars","0","0","5","1"
258.16,167.64,75,1149,11530,3.71,930,"1","0","1","0","1","1","5+","passenger cars","0","0","5","0"
448.12,921.86,110,1997,21230,4.6,1485,"0","0","1","0","0","1","5+","passenger cars","0","0","4","1"
351.91,142.77,70,1590,11136.75,3.635,990,"0","0","6+","0","1","1","5+","vans","0","0","5","1"
245.53,64.32,105,1998,22050,4.22,1385,"1","0","3","0","1","1","1","passenger cars","0","1","4","1"
298.27,2037.99,110,1560,21860,4.202,1244,"1","1","1","0","0","1","5+","passenger cars","0","0","3","1"
294.55,882,110,1560,20580,4.26,1205,"1","1","1","0","0","1","1","passenger cars","0","0","5","1"
245.57,129.59,90,1498,12590,4.184,1190,"1","0","1","0","1","1","5+","passenger cars","0","0","3","0"
286.51,61.57,90,1997,15780,4.028,1116,"0","0","1","0","0","1","2 - 4","passenger cars","0","1","5","1"
292.86,564.87,92,1560,19190,4.26,1182,"0","0","2","0","0","1","5+","passenger cars","0","0","5","1"
384.89,202.2,110,1461,20410,4.295,1215,"0","0","2","0","1","1","5+","passenger cars","0","1","5","1"
351.87,545.29,130,1896,20950,4.184,1293,"1","0","4","0","1","4+","5+","passenger cars","0","0","5","1"
339.29,122.8,130,2204,26400,4.665,1400,"1","0","4","0","1","4+","5+","passenger cars","0","0","5","1"
283.7,672.36,75,1968,17870,4.204,1154,"1","0","1","0","0","1","2 - 4","passenger cars","0","0","5","1"
498.63,492.98,115,1867,12660,3.835,1084,"1","0","2","0","1","4+","5+","passenger cars","0","1","2","0"
325.55,882,98,1497,15286,4.197,1179,"0","0","1","0","0","1","1","passenger cars","0","0","5","0"
150.12,49.95,80,1461,18545,4.209,1175,"0","0","4","0","1","1","2 - 4","passenger cars","0","0","3","1"
308.12,73.18,70,1896,13365,4.165,1109,"1","0","3","0","1","2","5+","passenger cars","0","0","5","1"
260.05,86.03,65,1870,15415.96,4.436,1130,"1","1","1","0","1","1","1","passenger cars","0","0","4","1"
191,2227,120,2464,28370,5.869,1805,"1","0","2","0","1","1","2 - 4","vans","0","0","4","1"
621.5,67.11,92,1560,21300.01,4.253,1090,"1","0","1","0","0","1","1","passenger cars","0","0","5","1"
449.42,2238.99,177,2958,32820,4.596,1575,"1","1","2","0","1","1","1","passenger cars","0","1","5","1"
333.86,68.83,100,1896,14873.3,3.953,1165,"0","1","2","0","1","1","1","passenger cars","0","0","5","1"
359.09,114.13,90,1689,20323.22,3.58,1095,"1","1","1","0","0","1","1","passenger cars","1","0","5","1"
335.51,1743.55,90,1997,15530,4.265,1240,"0","0","1","0","0","1","1","passenger cars","0","0","4","1"
599.05,150.85,82,1905,14424.29,4.167,1106,"0","0","3","1","1","3","5+","passenger cars","0","0","4","1"
269.91,908.57,75,1870,26260,4.576,1350,"1","0","3","1","1","4+","5+","passenger cars","0","0","5","0"
300.37,60.62,75,1598,12068.32,4.43,1032,"0","1","3","0","1","1","1","passenger cars","0","0","4","0"
172.37,150.25,174,1390,13326,3.953,1057,"0","1","1","0","1","1","1","passenger cars","0","0","5","1"
290.53,51.95,90,1896,14270.08,4.14,1170,"0","0","1","0","0","1","5+","passenger cars","0","0","4","1"
397.7,176.41,70,1910,22170,4.249,1335,"0","0","5","0","0","1","2 - 4","passenger cars","0","0","5","1"
270.49,882,143,2148,41523.11,4.82,1590,"1","1","1","0","1","1","1","passenger cars","0","0","4","1"
327.55,67.11,105,1896,24040,4.554,1345,"1","1","1","0","0","1","1","passenger cars","0","0","4","1"
334.83,933.95,60,1149,9784.48,3.71,900,"0","0","1","0","0","1","2 - 4","passenger cars","0","0","5","0"
372.98,97.27,90,1499,23470,4.818,1695,"0","0","3","0","1","2","5+","passenger cars","0","0","5","0"
587.38,346.38,110,1795,18354.91,4.63,1277,"1","0","2","0","1","1","2 - 4","passenger cars","0","1","5","1"
318.2,67.11,60,1596,15870,4.013,1090,"1","0","2","0","0","2","5+","passenger cars","0","1","3","0"
245.53,51.95,90,1689,21915.91,3.58,1095,"1","0","1","0","0","1","2 - 4","passenger cars","0","1","5","1"
423,882,70,1398,12160,3.822,1049,"1","1","1","0","0","1","1","passenger cars","0","1","5","1"
266.36,51.95,90,1560,20370,4.211,1243,"0","0","1","0","0","1","5+","passenger cars","0","0","5","1"
242.31,107.2,70,1870,11390,3.995,1055,"0","0","5","1","0","4+","5+","vans","0","0","3","1"
601.86,1187.52,70,1461,19506.84,4.213,1319,"0","0","5","1","1","4+","5+","passenger cars","0","1","3","1"
348.98,67.11,70,1587,25000,4.357,1453,"0","0","5","1","1","2","5+","passenger cars","0","0","3","1"
553.44,882,83,1461,19400,4.213,1319,"0","0","3","0","1","1","2 - 4","vans","0","0","5","0"
539.46,581.72,95,1598,22550.01,4.27,1365,"1","0","2","0","0","1","2 - 4","passenger cars","0","0","5","0"
662.18,64.32,90,1364,18450,4.22,1260,"0","0","1","0","1","1","5+","passenger cars","0","0","5","1"
421.05,118.83,100,1870,22900,4.782,1677,"1","0","1","0","0","1","2 - 4","vans","0","0","5","1"
228.49,882,110,1997,23785,4.618,1385,"1","1","2","0","1","1","1","passenger cars","0","0","5","1"
